idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
0,120,18000,133.799191,30,5;4;6;4;4;4;4;3;4;4;5;4;9;6;6;3;6;3;3;3;4;3;3;3;3;3;3;3;3;2,time,0.25;0.2;0.166667,1831.009866
1,120,18000,160.224581,33,5;3;5;6;5;3;3;4;3;3;4;4;3;4;3;3;5;4;3;3;5;3;3;4;3;3;5;3;3;3;3;4;2,time,0.25;0.2;0.166667,1871.357861
2,120,18000,192.853533,33,4;5;5;3;3;5;3;4;4;4;4;4;3;4;4;5;3;4;4;4;4;3;5;3;3;5;3;2;3;3;3;2;2,time,0.25;0.2;0.166667,1864.083966
3,120,18000,193.563582,30,3;8;5;5;4;4;6;4;4;6;3;4;4;3;4;3;3;3;5;5;5;4;3;4;3;3;3;5;2;2,time,0.25;0.2;0.166667,1855.531796
4,120,18000,147.892450,29,4;5;3;5;5;8;4;4;4;5;5;5;3;5;4;4;3;4;5;4;4;4;3;4;4;3;3;3;3,time,0.25;0.2;0.166667,1879.070364
5,120,18000,164.144600,30,4;4;4;4;4;4;5;6;3;5;3;3;3;3;7;4;4;3;5;4;6;3;4;3;4;3;5;3;3;4,time,0.25;0.2;0.166667,1862.341070
6,120,18000,166.581131,30,6;3;4;5;3;3;4;4;3;3;5;3;5;5;3;5;4;4;3;4;3;7;3;4;5;4;4;3;4;4,time,0.25;0.2;0.166667,1898.416552
7,120,18000,136.622376,31,4;4;5;3;5;6;5;5;5;4;5;3;3;5;5;3;3;4;4;3;3;4;4;5;3;3;3;3;3;2;3,time,0.25;0.2;0.166667,1872.618709
8,120,18000,149.013531,31,4;4;5;4;6;4;3;4;4;3;5;3;4;5;4;4;3;4;4;3;4;3;3;3;4;4;3;4;4;6;2,time,0.25;0.2;0.166667,1849.764619
9,120,18000,189.508202,32,3;5;3;4;4;4;6;4;3;5;5;4;3;5;3;6;3;4;3;3;4;3;4;3;3;4;3;3;3;3;4;3,time,0.25;0.2;0.166667,1878.376257
10,120,18000,172.399671,33,4;6;5;5;3;3;3;5;4;4;4;3;5;3;5;5;4;4;3;4;3;3;5;4;4;3;3;3;2;2;2;2;2,time,0.25;0.2;0.166667,1852.764686
11,120,18000,182.997226,30,7;3;4;4;4;7;4;5;5;4;4;3;4;4;5;3;3;6;5;3;3;3;4;3;3;5;3;3;3;3,time,0.25;0.2;0.166667,1858.687927
12,120,18000,182.250489,31,6;3;3;4;7;4;6;4;4;5;4;5;5;5;3;4;5;3;3;3;4;3;3;4;3;3;3;3;3;3;2,time,0.25;0.2;0.166667,1869.076549
13,120,18000,156.104264,32,6;3;4;5;5;4;4;6;4;4;4;3;3;4;4;3;3;3;4;3;4;5;3;4;3;4;3;3;4;3;3;2,time,0.25;0.2;0.166667,1834.570345
14,120,18000,197.960164,32,4;4;4;3;3;5;3;3;3;4;4;3;4;4;5;4;6;5;3;4;4;3;3;3;5;3;4;4;4;3;3;3,time,0.25;0.2;0.166667,1892.873813
15,120,18000,207.140945,31,8;4;3;3;6;6;5;4;3;3;4;4;4;3;3;3;5;4;4;4;3;4;4;4;3;3;3;4;3;3;3,time,0.25;0.2;0.166667,1875.570110
16,120,18000,196.877811,32,6;4;4;5;5;5;4;5;4;3;4;3;4;3;4;4;3;3;3;4;5;3;4;3;4;6;3;2;3;2;3;2,time,0.25;0.2;0.166667,1826.788646
17,120,18000,134.991071,31,6;3;5;5;5;4;4;3;4;4;4;4;5;3;5;4;4;3;5;4;3;3;3;5;3;3;3;4;4;3;2,time,0.25;0.2;0.166667,1878.856647
18,120,18000,221.070475,33,5;4;5;3;4;3;7;4;3;3;6;3;3;6;4;4;3;3;5;3;3;4;4;4;4;3;3;3;3;2;2;2;2,time,0.25;0.2;0.166667,1847.806010
19,120,18000,163.829136,30,3;4;6;3;6;4;3;6;4;5;4;4;4;3;4;6;4;4;3;4;4;4;6;5;4;3;3;2;3;2,time,0.25;0.2;0.166667,1880.285310
20,120,18000,161.237981,33,4;5;3;4;5;6;4;3;3;3;5;5;4;3;3;3;4;3;3;3;5;4;3;3;3;4;3;3;4;3;3;4;2,time,0.25;0.2;0.166667,1880.025881
21,120,18000,142.906928,29,5;4;3;3;5;5;4;6;4;5;4;6;6;4;5;4;4;4;4;3;5;3;3;4;5;3;3;3;3,time,0.25;0.2;0.166667,1850.233157
22,120,18000,146.165617,27,3;6;4;5;5;3;4;6;3;5;5;4;3;6;6;4;3;4;5;5;7;6;4;4;4;3;3,time,0.25;0.2;0.166667,1874.877373
23,120,18000,166.793042,32,5;5;5;4;5;4;3;4;3;3;4;3;4;3;3;4;3;5;4;4;3;4;3;3;5;3;4;5;5;3;3;1,time,0.25;0.2;0.166667,1852.098708
24,120,18000,134.365723,28,8;4;5;4;4;5;4;5;5;4;4;4;4;5;5;4;3;6;4;4;4;4;6;2;4;3;3;3,time,0.25;0.2;0.166667,1875.608758
25,120,18000,185.857697,33,4;4;3;3;3;4;4;3;3;4;4;4;4;4;3;8;5;4;3;3;3;3;3;3;3;4;3;5;4;3;3;3;3,time,0.25;0.2;0.166667,1875.702920
26,120,18000,183.217193,31,5;4;5;5;3;5;7;4;3;4;3;5;4;4;3;3;5;6;4;3;4;3;3;2;3;4;4;3;3;3;3,time,0.25;0.2;0.166667,1855.297401
27,120,18000,180.291373,29,6;6;4;6;7;4;3;4;6;3;5;3;4;4;4;4;6;5;3;3;3;3;5;3;4;5;3;2;2,time,0.25;0.2;0.166667,1918.224110
28,120,18000,173.399288,32,7;5;4;7;5;4;4;3;4;5;3;3;4;4;3;5;3;3;4;4;4;3;3;4;3;4;3;3;3;2;2;2,time,0.25;0.2;0.166667,1879.513221
