idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
0,80,14000,125.138631,22,5;3;3;3;6;3;4;5;3;3;3;6;4;4;6;3;3;3;3;3;2;2,time,0.25;0.2;0.166667,636.676901
1,80,14000,100.956700,19,5;3;4;4;6;3;5;4;5;6;3;3;6;4;4;4;4;5;2,time,0.25;0.2;0.166667,646.045421
2,80,14000,135.923479,23,6;5;3;3;5;4;3;6;4;6;3;2;2;3;3;3;3;2;2;2;3;3;4,time,0.25;0.2;0.166667,634.395675
3,80,14000,118.298385,22,4;4;3;4;5;4;3;3;3;4;4;5;3;5;3;3;3;5;3;3;3;3,time,0.25;0.2;0.166667,641.961897
4,80,14000,140.531395,21,7;5;4;4;3;4;3;3;4;6;4;4;4;5;4;3;3;3;3;2;2,time,0.25;0.2;0.166667,632.885728
5,80,14000,116.235883,20,5;4;3;7;5;4;4;3;3;4;3;3;5;4;7;4;5;3;2;2,time,0.25;0.2;0.166667,644.017575
6,80,14000,119.062284,23,4;4;5;4;3;4;3;4;3;5;3;5;3;4;3;3;3;3;3;3;3;3;2,time,0.25;0.2;0.166667,635.816250
7,80,14000,92.004729,19,6;5;5;4;7;3;5;8;4;4;4;3;3;3;4;3;4;3;2,time,0.25;0.2;0.166667,641.784771
8,80,14000,101.755365,21,5;5;4;5;4;4;6;3;4;5;3;3;3;4;4;4;3;4;2;3;2,time,0.25;0.2;0.166667,644.667802
9,80,14000,120.856770,19,6;5;6;4;4;3;3;5;4;7;5;4;4;3;3;4;5;3;2,time,0.25;0.2;0.166667,636.059021
10,80,14000,116.140973,21,5;3;5;6;5;3;3;3;4;4;5;4;3;3;4;5;3;3;3;3;3,time,0.25;0.2;0.166667,633.918187
11,80,14000,99.024165,21,8;3;3;3;5;4;4;3;3;7;5;3;3;3;3;4;4;2;4;3;3,time,0.25;0.2;0.166667,633.681410
12,80,14000,129.294000,21,3;3;5;5;3;4;4;4;4;4;4;3;3;5;4;5;4;4;3;3;3,time,0.25;0.2;0.166667,630.563468
13,80,14000,117.141200,22,3;3;4;5;5;3;6;4;3;4;3;3;4;3;5;6;3;3;3;3;2;2,time,0.25;0.2;0.166667,649.556064
14,80,14000,97.890032,20,5;7;4;3;6;6;7;3;3;3;5;6;3;3;2;3;3;3;3;2,time,0.25;0.2;0.166667,640.099856
15,80,14000,96.464246,17,5;4;5;7;5;7;4;5;5;5;5;4;4;5;5;3;2,time,0.25;0.2;0.166667,656.132189
16,80,14000,137.790036,22,5;4;5;5;3;5;6;3;4;3;5;3;3;5;2;4;3;3;3;3;2;1,time,0.25;0.2;0.166667,642.803900
17,80,14000,92.500929,18,4;5;5;5;4;3;4;3;4;5;4;6;6;4;4;7;4;3,time,0.25;0.2;0.166667,644.026918
18,80,14000,113.140519,20,6;4;4;5;4;5;5;4;4;4;3;4;3;4;5;3;3;3;4;3,time,0.25;0.2;0.166667,645.732709
19,80,14000,143.869748,21,4;5;4;3;3;4;6;4;3;5;5;3;3;3;3;4;3;3;4;4;4,time,0.25;0.2;0.166667,636.861145
20,80,14000,112.659461,21,5;5;4;6;4;4;4;4;5;4;3;4;3;4;3;5;3;3;3;3;1,time,0.25;0.2;0.166667,640.218386
21,80,14000,88.259889,19,6;3;6;6;4;3;4;3;3;4;5;3;3;5;9;5;3;4;1,time,0.25;0.2;0.166667,634.390339
