idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
0,140,20000,155.000346,33,6;4;7;6;4;4;4;4;3;4;4;4;4;4;4;6;4;5;6;4;4;4;4;4;3;3;4;4;4;3;5;3;4,time,0.25;0.2;0.166667;0.142857;0.125,2913.634124
1,140,20000,205.036398,34,6;5;3;4;5;5;3;4;4;4;4;4;3;5;3;3;3;5;4;5;5;5;7;3;4;4;4;4;4;5;5;4;3;1,time,0.25;0.2;0.166667;0.142857;0.125,2868.874730
2,140,20000,201.393617,36,4;4;5;5;4;4;4;4;3;5;4;3;5;4;4;4;4;3;3;5;3;3;3;4;3;3;3;8;5;4;3;4;4;5;2;2,time,0.25;0.2;0.166667;0.142857;0.125,2858.433066
3,140,20000,179.094665,39,3;6;4;3;4;3;4;3;4;3;5;4;4;6;3;4;3;4;3;4;4;3;4;5;3;3;3;3;4;4;3;3;4;2;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,2851.873974
4,140,20000,235.469514,35,7;4;4;3;3;4;4;4;5;4;3;3;4;6;4;4;3;4;5;5;4;3;6;4;5;5;4;4;3;4;4;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,2890.767054
5,140,20000,255.357035,38,4;3;3;5;5;4;5;3;4;5;5;4;4;3;5;3;3;3;4;3;3;3;3;4;3;5;4;3;3;3;4;3;6;3;4;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,2943.410966
6,140,20000,188.694441,35,4;5;5;5;3;6;5;4;5;5;3;4;4;3;3;5;6;5;4;5;3;4;4;4;3;5;3;3;4;3;3;3;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,2943.051247
7,140,20000,238.748183,36,3;4;5;4;4;5;4;5;7;6;4;4;3;3;4;4;4;3;3;4;4;5;5;7;3;5;4;3;2;2;3;3;3;2;3;3,time,0.25;0.2;0.166667;0.142857;0.125,2941.824013
8,140,20000,216.732201,37,5;6;4;4;4;3;4;3;3;6;3;4;4;4;3;3;4;3;5;6;3;4;4;4;6;4;3;4;4;3;3;3;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,2915.562506
9,140,20000,152.523779,33,6;7;3;4;4;4;6;4;5;4;3;4;5;3;5;5;4;3;4;4;5;6;4;3;5;3;3;4;5;4;4;4;3,time,0.25;0.2;0.166667;0.142857;0.125,2882.708245
10,140,20000,193.850724,33,5;3;4;5;6;5;7;3;3;4;4;4;4;5;5;5;6;7;4;6;4;4;4;3;3;4;4;5;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,2935.416831
11,140,20000,238.885631,37,5;4;5;3;5;5;4;5;4;4;4;3;3;5;4;5;3;4;6;4;4;3;4;3;3;3;3;5;4;3;3;3;3;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,2891.368732
