idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
0,160,22000,241.088423,42,4;3;4;6;4;4;6;5;3;5;5;4;6;5;3;3;5;4;5;4;4;3;3;3;3;3;3;4;4;3;3;5;3;4;3;3;4;3;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,4236.860317
1,160,22000,191.198902,39,5;6;4;5;4;4;6;4;3;6;3;4;4;3;3;4;6;5;4;4;4;3;5;4;4;6;3;4;4;6;4;4;4;3;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,4257.970881
2,160,22000,244.906836,43,4;4;5;6;3;6;3;5;5;4;3;3;4;4;6;3;4;4;3;5;6;8;3;4;5;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,4212.608995
3,160,22000,292.360121,41,5;4;5;5;5;5;3;5;4;4;4;4;6;5;4;3;7;4;3;5;3;4;4;5;3;4;3;4;4;3;3;2;2;4;3;3;3;3;3;3;4,time,0.25;0.2;0.166667;0.142857;0.125,4337.172718
4,160,22000,224.318855,40,3;3;4;4;6;8;5;4;5;4;6;3;4;3;4;4;4;3;4;3;4;4;4;4;4;5;4;4;3;4;3;8;3;3;3;4;4;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,4312.376843
5,160,22000,201.099190,41,4;4;3;5;6;6;4;4;3;3;4;4;5;5;5;4;3;3;4;4;5;7;4;4;3;3;4;3;3;6;3;4;4;2;3;3;3;3;4;3;3,time,0.25;0.2;0.166667;0.142857;0.125,4265.464322
6,160,22000,313.261554,42,5;5;6;3;6;3;4;9;5;5;4;4;3;4;3;4;6;3;3;6;5;3;3;3;3;3;3;3;4;3;4;3;3;3;4;3;3;3;3;2;3;2,time,0.25;0.2;0.166667;0.142857;0.125,4288.363221
7,160,22000,201.162305,41,5;5;3;4;5;5;6;3;3;4;4;4;4;3;5;3;5;3;4;3;3;4;4;4;4;7;4;3;6;4;3;5;4;3;4;4;3;2;4;3;1,time,0.25;0.2;0.166667;0.142857;0.125,4275.354360
8,160,22000,198.042612,43,5;4;3;5;3;4;6;3;3;4;4;3;5;5;4;5;3;4;4;3;3;4;4;3;4;3;6;3;4;5;3;3;4;3;4;3;3;4;3;3;3;4;1,time,0.25;0.2;0.166667;0.142857;0.125,4264.074674
9,160,22000,194.060532,38,4;7;5;3;10;4;5;4;4;5;3;3;4;3;6;3;3;4;4;4;3;9;3;4;6;6;3;3;3;3;6;5;4;3;4;3;3;1,time,0.25;0.2;0.166667;0.142857;0.125,4247.619545
10,160,22000,194.081899,42,6;4;3;6;4;5;6;4;4;4;4;3;3;4;4;5;6;4;4;3;4;5;3;3;3;3;4;4;3;3;3;3;4;3;3;3;3;4;3;4;3;3,time,0.25;0.2;0.166667;0.142857;0.125,4187.774246
11,160,22000,197.099862,40,6;6;4;5;4;4;5;4;3;4;5;4;3;5;4;4;3;4;4;4;6;3;7;4;5;4;3;3;4;3;5;3;6;3;3;3;4;3;2;1,time,0.25;0.2;0.166667;0.142857;0.125,4174.805874
12,160,22000,229.196014,41,4;4;5;5;4;5;5;3;3;3;4;4;5;5;3;4;4;5;4;4;5;3;3;4;5;3;4;3;4;4;6;3;9;2;3;3;3;2;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,4239.432507
13,160,22000,204.634349,40,4;6;4;6;3;4;5;5;3;4;4;6;5;6;4;4;5;4;6;4;5;4;5;3;3;3;4;3;3;4;3;3;4;3;3;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,4229.915802
14,160,22000,180.403860,40,4;5;5;3;3;4;4;3;6;3;5;5;5;4;4;3;4;3;4;4;3;3;8;5;4;3;4;4;5;4;3;6;4;3;3;3;4;4;4;2,time,0.25;0.2;0.166667;0.142857;0.125,4294.851871
15,160,22000,191.881026,41,5;6;5;4;7;4;3;4;3;4;6;3;5;3;5;4;4;3;3;4;5;4;5;5;3;3;4;3;3;3;3;3;4;4;5;3;4;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,4228.120701
16,160,22000,171.769472,39,5;5;6;5;4;5;3;3;5;3;3;5;4;5;3;3;4;7;5;4;5;3;4;6;3;3;4;4;6;4;5;4;3;5;3;2;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,4228.200994
17,160,22000,212.343680,42,4;5;3;3;4;4;4;4;3;3;5;5;3;4;4;4;5;4;5;4;3;3;6;5;3;4;3;4;4;3;3;4;4;4;4;4;3;3;3;4;3;3,time,0.25;0.2;0.166667;0.142857;0.125,4148.919091
18,160,22000,249.657462,40,6;3;4;4;4;3;4;5;4;5;5;5;4;5;3;5;4;4;5;3;4;3;3;7;4;4;3;4;3;6;3;4;6;3;4;3;3;4;3;1,time,0.25;0.2;0.166667;0.142857;0.125,4214.128119
19,160,22000,176.118083,39,3;6;4;5;4;3;5;4;4;4;3;5;4;6;4;6;4;5;5;3;5;3;5;3;7;5;5;5;5;3;3;3;3;3;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,4262.077893
20,160,22000,231.999118,41,7;4;6;5;5;4;5;6;4;3;3;4;5;3;3;4;7;4;4;5;4;4;3;4;5;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,4271.712219
21,160,22000,206.057190,39,4;5;4;4;4;5;4;4;3;4;3;5;5;4;5;5;3;4;4;5;5;3;6;3;4;4;3;6;3;4;3;3;7;4;3;3;6;4;2,time,0.25;0.2;0.166667;0.142857;0.125,4286.475024
22,160,22000,200.211703,42,4;5;6;5;3;4;4;3;6;6;5;3;3;3;5;4;4;6;4;3;4;3;3;3;3;4;4;8;3;3;3;4;3;4;4;3;3;3;2;3;3;1,time,0.25;0.2;0.166667;0.142857;0.125,4194.266459
