idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
0,40,10000,63.930196,11,4;4;6;5;4;3;3;3;2;3;3,time,0.25;0.2;0.166667,131.270480
1,40,10000,49.608176,11,3;4;4;4;5;5;2;4;3;3;3,time,0.25;0.2;0.166667,125.393019
2,40,10000,61.333228,11,4;4;3;3;7;4;3;3;3;3;3,time,0.25;0.2;0.166667,127.319550
3,40,10000,65.820987,10,4;5;4;6;6;4;3;3;3;2,time,0.25;0.2;0.166667,136.328947
4,40,10000,48.631426,10,4;4;6;4;3;5;3;3;4;4,time,0.25;0.2;0.166667,154.426630
5,40,10000,73.589485,12,4;5;3;4;3;3;3;3;5;3;2;2,time,0.25;0.2;0.166667,137.933702
6,40,10000,54.774872,11,4;4;6;5;4;3;3;3;3;3;2,time,0.25;0.2;0.166667,138.109492
7,40,10000,58.055883,10,6;5;3;3;3;3;5;3;5;4,time,0.25;0.2;0.166667,140.868360
8,40,10000,50.644343,9,5;7;3;5;6;4;3;4;3,time,0.25;0.2;0.166667,144.345572
9,40,10000,74.990757,11,4;3;7;6;4;3;3;3;2;3;2,time,0.25;0.2;0.166667,141.140719
10,40,10000,52.372928,10,4;5;5;3;3;3;3;4;6;4,time,0.25;0.2;0.166667,139.426435
11,40,10000,50.824954,10,4;9;3;8;3;3;3;3;2;2,time,0.25;0.2;0.166667,141.424117
12,40,10000,47.767877,10,5;3;6;4;4;6;4;4;2;2,time,0.25;0.2;0.166667,141.835926
13,40,10000,75.938087,11,4;5;4;3;3;4;4;3;3;3;4,time,0.25;0.2;0.166667,139.095123
14,40,10000,66.095384,10,7;3;3;5;4;5;3;4;3;3,time,0.25;0.2;0.166667,139.558258
15,40,10000,61.977021,9,6;4;4;3;7;5;4;5;2,time,0.25;0.2;0.166667,141.939479
16,40,10000,49.273937,10,4;5;3;4;5;4;6;3;3;3,time,0.25;0.2;0.166667,138.656903
17,40,10000,67.611684,11,5;4;6;3;4;5;3;3;3;2;2,time,0.25;0.2;0.166667,138.480214
18,40,10000,45.351621,9,6;6;3;4;5;6;4;3;3,time,0.25;0.2;0.166667,147.043713
19,40,10000,71.607013,11,5;4;4;3;4;3;4;3;6;2;2,time,0.25;0.2;0.166667,137.487648
20,40,10000,79.875319,11,4;4;5;3;6;3;4;3;2;3;3,time,0.25;0.2;0.166667,141.742168
21,40,10000,50.192552,10,3;5;4;3;3;8;5;4;4;1,time,0.25;0.2;0.166667,143.209333
22,40,10000,50.878295,10,4;5;5;4;7;6;3;3;2;1,time,0.25;0.2;0.166667,141.103663
23,40,10000,65.424340,11,4;7;3;5;4;4;2;3;4;2;2,time,0.25;0.2;0.166667,142.340613
24,40,10000,72.820975,12,5;4;3;3;5;5;3;2;2;3;3;2,time,0.25;0.2;0.166667,141.081922
25,40,10000,76.265779,10,5;5;4;5;4;3;4;3;4;3,time,0.25;0.2;0.166667,141.702698
26,40,10000,57.180550,11,5;4;4;4;3;3;5;3;4;3;2,time,0.25;0.2;0.166667,135.930606
27,40,10000,70.601944,12,3;3;3;4;4;3;4;3;3;4;3;3,time,0.25;0.2;0.166667,139.398063
28,40,10000,61.080987,11,4;8;4;3;4;3;3;5;3;2;1,time,0.25;0.2;0.166667,141.061639
29,40,10000,77.088424,11,4;5;3;5;7;3;4;3;2;2;2,time,0.25;0.2;0.166667,141.719395
30,40,10000,49.158006,9,4;7;5;4;5;5;3;4;3,time,0.25;0.2;0.166667,139.684390
31,40,10000,71.256050,11,4;5;4;4;3;3;3;4;4;2;4,time,0.25;0.2;0.166667,138.088047
32,40,10000,55.315169,11,6;7;3;4;3;3;4;3;3;3;1,time,0.25;0.2;0.166667,140.385052
33,40,10000,67.070246,10,4;5;5;3;6;5;3;3;4;2,time,0.25;0.2;0.166667,140.547326
34,40,10000,48.981220,10,3;6;6;4;3;5;4;3;5;1,time,0.25;0.2;0.166667,144.716522
35,40,10000,50.105826,10,6;4;4;4;6;3;4;3;3;3,time,0.25;0.2;0.166667,138.168592
36,40,10000,90.746921,12,6;3;3;3;3;3;3;4;3;3;3;3,time,0.25;0.2;0.166667,142.004312
37,40,10000,54.277290,12,6;3;4;5;3;3;3;4;3;2;2;2,time,0.25;0.2;0.166667,138.912806
38,40,10000,52.539226,10,5;6;3;3;5;7;2;3;3;3,time,0.25;0.2;0.166667,138.382873
39,40,10000,61.994562,10,7;5;3;4;5;3;4;3;3;3,time,0.25;0.2;0.166667,141.806289
40,40,10000,55.370672,11,4;4;3;4;4;4;4;3;4;3;3,time,0.25;0.2;0.166667,139.512366
41,40,10000,60.306391,10,5;4;4;7;5;4;3;3;3;2,time,0.25;0.2;0.166667,139.729662
42,40,10000,61.558279,10,4;5;3;7;6;3;4;3;3;2,time,0.25;0.2;0.166667,142.034829
43,40,10000,76.192577,12,3;3;5;5;3;3;3;4;4;3;3;1,time,0.25;0.2;0.166667,134.722720
44,40,10000,52.431547,11,4;4;6;4;4;3;3;3;3;3;3,time,0.25;0.2;0.166667,141.205899
45,40,10000,58.463070,10,5;6;3;7;4;5;3;3;3;1,time,0.25;0.2;0.166667,142.594452
46,40,10000,71.267716,10,4;6;4;4;3;3;5;5;4;2,time,0.25;0.2;0.166667,140.674152
47,40,10000,64.581424,11,5;3;3;5;5;3;5;3;3;4;1,time,0.25;0.2;0.166667,138.214041
48,40,10000,49.547887,9,5;4;4;5;5;4;4;3;6,time,0.25;0.2;0.166667,140.437730
49,40,10000,67.896476,12,4;3;7;3;3;3;5;2;3;2;3;2,time,0.25;0.2;0.166667,138.915349
50,40,10000,58.034792,11,4;3;3;4;5;4;3;3;5;4;2,time,0.25;0.2;0.166667,133.633867
51,40,10000,53.147852,11,5;3;4;4;5;3;5;3;3;3;2,time,0.25;0.2;0.166667,140.401070
52,40,10000,80.178195,12,3;4;5;3;4;4;3;5;4;2;2;1,time,0.25;0.2;0.166667,137.082852
53,40,10000,65.776841,11,4;3;3;3;8;3;3;5;4;2;2,time,0.25;0.2;0.166667,137.015524
54,40,10000,62.894026,11,5;8;5;3;3;3;3;2;3;3;2,time,0.25;0.2;0.166667,136.942627
55,40,10000,74.231871,13,5;5;3;4;3;3;3;3;3;2;3;2;1,time,0.25;0.2;0.166667,137.270846
56,40,10000,53.320676,10,6;3;3;5;5;3;5;3;4;3,time,0.25;0.2;0.166667,139.721859
57,40,10000,55.046331,10,3;5;7;4;3;4;3;4;3;4,time,0.25;0.2;0.166667,138.809030
58,40,10000,68.130491,11,5;5;4;3;2;3;4;3;3;3;5,time,0.25;0.2;0.166667,138.659209
59,40,10000,69.263795,11,3;4;4;4;4;5;6;4;2;2;2,time,0.25;0.2;0.166667,138.532436
60,40,10000,58.890099,11,6;5;4;4;4;5;3;3;3;2;1,time,0.25;0.2;0.166667,141.842598
61,40,10000,60.435275,12,5;3;3;3;4;3;5;4;2;3;3;2,time,0.25;0.2;0.166667,139.170847
62,40,10000,69.234336,11,3;4;3;6;3;6;4;3;4;3;1,time,0.25;0.2;0.166667,139.693478
63,40,10000,82.660924,12,5;4;4;3;3;4;3;3;3;3;3;2,time,0.25;0.2;0.166667,140.266819
64,40,10000,62.193279,11,3;5;3;4;3;3;4;4;4;3;4,time,0.25;0.2;0.166667,140.291732
65,40,10000,73.545269,11,4;6;4;5;3;4;4;3;3;2;2,time,0.25;0.2;0.166667,137.006773
66,40,10000,57.287745,11,3;6;4;3;4;3;3;3;5;4;2,time,0.25;0.2;0.166667,138.739477
67,40,10000,61.916933,11,4;5;5;5;4;4;3;4;2;2;2,time,0.25;0.2;0.166667,138.196239
68,40,10000,46.896559,10,3;6;3;6;3;3;3;5;6;2,time,0.25;0.2;0.166667,142.182228
69,40,10000,52.127457,10,4;4;4;3;4;4;8;4;2;3,time,0.25;0.2;0.166667,137.878628
70,40,10000,63.310187,12,5;4;4;3;3;5;3;3;3;3;2;2,time,0.25;0.2;0.166667,136.663565
71,40,10000,57.820783,10,5;4;3;5;3;3;8;3;4;2,time,0.25;0.2;0.166667,139.065995
72,40,10000,51.091108,11,5;5;4;5;4;3;4;3;3;3;1,time,0.25;0.2;0.166667,139.236001
73,40,10000,59.505526,10,3;3;6;5;4;4;6;4;3;2,time,0.25;0.2;0.166667,137.333992
74,40,10000,75.756899,12,4;5;5;5;4;3;3;2;3;2;2;2,time,0.25;0.2;0.166667,138.677885
