idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
0,100,16000,125.190613,30,5;4;4;4;4;3;6;4;3;3;4;3;3;4;4;4;3;3;3;3;3;3;3;4;3;2;3;2;2;1,time,0.25;0.2;0.166667,1113.380330
1,100,16000,115.093723,24,7;3;6;5;5;5;5;4;4;3;4;4;3;4;5;4;6;4;4;3;5;4;2;1,time,0.25;0.2;0.166667,1147.718585
2,100,16000,199.834523,28,3;4;4;3;4;3;3;4;5;5;5;4;4;3;3;3;4;6;3;3;5;3;3;4;2;2;2;3,time,0.25;0.2;0.166667,1124.005738
3,100,16000,144.325160,27,4;5;4;4;3;3;3;3;4;6;3;6;4;5;3;3;4;3;5;3;3;3;3;3;4;3;3,time,0.25;0.2;0.166667,1140.830298
4,100,16000,134.146977,22,7;7;5;5;6;5;6;3;4;4;3;3;5;4;4;6;3;3;4;6;4;3,time,0.25;0.2;0.166667,1178.547179
5,100,16000,140.523051,25,4;5;6;7;8;4;4;3;4;3;3;4;3;4;4;6;3;3;3;3;3;3;3;3;4,time,0.25;0.2;0.166667,1130.506511
6,100,16000,139.994517,25,5;4;7;5;5;3;3;4;3;5;4;3;6;3;3;6;6;4;4;2;3;3;3;3;3,time,0.25;0.2;0.166667,1160.275515
7,100,16000,135.547784,27,7;5;5;3;4;3;3;4;3;5;6;4;3;3;4;3;4;4;4;4;2;3;3;3;4;2;2,time,0.25;0.2;0.166667,1140.540135
8,100,16000,170.488284,25,5;3;4;4;4;5;4;6;3;5;7;4;3;5;3;3;7;3;3;4;3;3;3;3;3,time,0.25;0.2;0.166667,1170.375778
9,100,16000,138.442757,28,4;6;4;4;4;4;3;4;3;4;3;3;3;5;3;3;3;4;3;4;4;3;3;3;3;3;4;3,time,0.25;0.2;0.166667,1122.800238
10,100,16000,119.596444,27,4;7;5;6;3;5;4;4;6;4;3;3;3;4;4;3;4;3;3;2;3;3;3;4;3;3;1,time,0.25;0.2;0.166667,1143.829008
11,100,16000,141.718477,24,5;5;3;3;4;4;4;3;3;6;6;6;4;4;4;4;7;6;3;4;3;3;3;3,time,0.25;0.2;0.166667,1160.752765
12,100,16000,128.641787,29,3;4;3;4;5;4;3;3;5;4;3;3;4;5;5;4;3;4;3;3;3;3;3;3;2;3;3;2;3,time,0.25;0.2;0.166667,1128.451814
13,100,16000,173.944697,26,4;4;4;3;7;4;4;4;3;6;4;3;3;4;4;3;4;3;5;5;3;3;3;4;3;3,time,0.25;0.2;0.166667,1118.792921
14,100,16000,150.951447,24,6;6;3;4;6;4;4;5;5;6;6;3;4;3;4;5;3;5;5;3;3;3;2;2,time,0.25;0.2;0.166667,1140.426708
15,100,16000,141.702699,24,5;5;6;5;3;3;4;3;5;4;4;8;5;5;4;4;4;3;3;3;3;5;3;3,time,0.25;0.2;0.166667,1149.259528
16,100,16000,144.450080,27,4;5;5;4;4;4;4;3;4;3;5;3;4;3;7;3;4;3;4;3;3;4;3;3;3;4;1,time,0.25;0.2;0.166667,1132.585504
17,100,16000,145.980627,26,4;5;6;3;6;6;5;3;3;3;5;3;4;3;3;3;4;3;5;4;4;4;3;3;3;2,time,0.25;0.2;0.166667,1151.522464
18,100,16000,148.276997,26,8;4;5;3;5;4;3;3;3;4;5;4;5;4;3;4;3;4;5;3;3;3;3;3;3;3,time,0.25;0.2;0.166667,1158.741106
