idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
0,60,12000,100.786464,17,3;5;6;4;3;3;3;4;3;3;4;3;3;4;4;3;2,time,0.25;0.2;0.166667,314.717826
1,60,12000,107.053119,15,6;5;4;5;4;3;4;3;4;4;3;3;4;6;2,time,0.25;0.2;0.166667,311.909286
2,60,12000,68.376156,14,5;5;4;5;4;5;3;5;5;4;4;5;3;3,time,0.25;0.2;0.166667,314.691181
3,60,12000,64.647433,15,4;7;7;5;3;4;3;3;4;4;3;3;5;4;1,time,0.25;0.2;0.166667,320.944211
4,60,12000,90.608615,15,5;4;4;3;5;3;6;5;3;4;5;5;3;3;2,time,0.25;0.2;0.166667,319.055907
5,60,12000,96.752490,18,4;4;8;4;3;3;3;3;4;3;3;2;2;3;3;3;3;2,time,0.25;0.2;0.166667,306.905449
6,60,12000,105.116979,15,6;5;5;4;5;3;4;4;4;3;3;4;3;5;2,time,0.25;0.2;0.166667,324.412223
7,60,12000,90.993521,18,5;4;4;8;4;3;3;2;4;4;2;2;3;2;3;3;2;2,time,0.25;0.2;0.166667,318.232950
8,60,12000,81.428219,14,6;8;5;4;6;7;3;3;3;3;3;3;3;3,time,0.25;0.2;0.166667,334.441707
9,60,12000,80.861404,15,4;3;3;4;3;5;5;6;8;3;3;4;3;3;3,time,0.25;0.2;0.166667,322.102970
10,60,12000,89.790490,14,5;5;5;3;3;6;7;3;5;4;3;4;4;3,time,0.25;0.2;0.166667,320.826190
11,60,12000,87.355044,16,3;3;4;4;4;6;5;8;4;4;2;3;3;2;3;2,time,0.25;0.2;0.166667,309.400081
12,60,12000,82.014937,15,4;5;4;7;4;3;3;3;6;4;5;4;5;2;1,time,0.25;0.2;0.166667,322.348363
13,60,12000,95.603233,15,5;4;4;5;3;7;7;3;3;3;3;4;4;4;1,time,0.25;0.2;0.166667,320.699531
14,60,12000,84.572970,15,5;10;5;4;3;4;4;2;4;3;4;3;4;3;2,time,0.25;0.2;0.166667,319.578894
