idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
0,100,16000,125.190613,30,5;4;4;4;4;3;6;4;3;3;4;3;3;4;4;4;3;3;3;3;3;3;3;4;3;2;3;2;2;1,time,0.25;0.2;0.166667;0.142857;0.125,1132.653481
1,100,16000,115.093723,24,7;3;6;5;5;5;5;4;4;3;4;4;3;4;5;4;6;4;4;3;5;4;2;1,time,0.25;0.2;0.166667;0.142857;0.125,1166.490307
2,100,16000,199.834523,28,3;4;4;3;4;3;3;4;5;5;5;4;4;3;3;3;4;6;3;3;5;3;3;4;2;2;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1142.627908
3,100,16000,144.325160,27,4;5;4;4;3;3;3;3;4;6;3;6;4;5;3;3;4;3;5;3;3;3;3;3;4;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1158.697253
4,100,16000,134.146977,22,7;7;5;5;6;5;6;3;4;4;3;3;5;4;4;6;3;3;4;6;4;3,time,0.25;0.2;0.166667;0.142857;0.125,1192.995872
5,100,16000,140.523051,25,4;5;6;7;8;4;4;3;4;3;3;4;3;4;4;6;3;3;3;3;3;3;3;3;4,time,0.25;0.2;0.166667;0.142857;0.125,1150.270825
6,100,16000,139.994517,25,5;4;7;5;5;3;3;4;3;5;4;3;6;3;3;6;6;4;4;2;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1179.085144
7,100,16000,135.547784,27,7;5;5;3;4;3;3;4;3;5;6;4;3;3;4;3;4;4;4;4;2;3;3;3;4;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1159.174540
8,100,16000,170.488284,25,5;3;4;4;4;5;4;6;3;5;7;4;3;5;3;3;7;3;3;4;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1187.610197
9,100,16000,138.442757,28,4;6;4;4;4;4;3;4;3;4;3;3;3;5;3;3;3;4;3;4;4;3;3;3;3;3;4;3,time,0.25;0.2;0.166667;0.142857;0.125,1140.404033
10,100,16000,119.596444,27,4;7;5;6;3;5;4;4;6;4;3;3;3;4;4;3;4;3;3;2;3;3;3;4;3;3;1,time,0.25;0.2;0.166667;0.142857;0.125,1162.164878
