idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
29,120,18000,132.273870,31,5;6;3;3;3;4;4;4;6;3;6;4;4;4;4;5;3;4;4;3;3;5;5;4;3;3;4;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1931.871277
30,120,18000,167.678447,28,3;4;4;4;5;6;4;3;4;4;4;3;4;4;7;7;7;4;4;3;4;4;4;3;5;5;3;4,time,0.25;0.2;0.166667;0.142857;0.125,1976.014640
31,120,18000,173.224290,31,5;7;4;4;4;4;4;4;5;3;3;5;3;7;4;3;3;3;5;3;3;4;4;4;3;3;3;2;4;3;4,time,0.25;0.2;0.166667;0.142857;0.125,1936.826365
32,120,18000,215.986652,32,4;4;5;3;3;3;6;4;4;5;4;4;3;6;3;3;4;6;3;3;3;4;3;4;3;3;3;4;3;3;3;4,time,0.25;0.2;0.166667;0.142857;0.125,1924.515014
33,120,18000,168.739948,32,4;5;4;3;5;5;5;3;6;3;3;6;5;3;3;5;3;3;4;3;4;3;4;3;3;3;4;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1947.640831
34,120,18000,149.318313,31,6;5;5;3;4;5;3;3;6;4;4;4;3;5;3;4;4;3;3;3;3;3;4;3;6;4;6;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1928.685528
35,120,18000,152.887949,32,4;3;4;5;4;3;3;4;3;4;4;3;3;5;6;5;7;3;6;3;4;3;3;4;3;3;4;3;4;3;3;1,time,0.25;0.2;0.166667;0.142857;0.125,1977.989576
36,120,18000,150.802880,31,4;3;6;5;4;3;3;6;3;4;5;4;3;3;4;3;3;5;3;4;4;3;5;5;3;4;6;4;2;4;2,time,0.25;0.2;0.166667;0.142857;0.125,1951.821392
37,120,18000,143.982417,29,4;5;5;4;4;3;4;5;3;5;3;3;4;5;4;6;5;3;5;3;7;3;4;7;5;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1920.386211
38,120,18000,187.010669,30,9;8;5;4;3;4;4;4;6;4;3;3;4;3;5;8;4;6;4;3;3;3;3;2;3;3;3;2;2;2,time,0.25;0.2;0.166667;0.142857;0.125,2001.318652
39,120,18000,143.967752,32,7;4;4;5;4;3;4;5;3;4;4;3;3;4;4;4;4;4;4;3;5;4;4;3;3;3;2;3;4;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1916.058803
40,120,18000,151.512208,29,4;5;3;5;4;5;5;4;4;3;3;3;6;8;6;3;4;3;3;4;3;5;4;5;4;6;4;3;1,time,0.25;0.2;0.166667;0.142857;0.125,1942.742653
