idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
0,80,14000,125.138631,22,5;3;3;3;6;3;4;5;3;3;3;6;4;4;6;3;3;3;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,650.536179
1,80,14000,100.956700,19,5;3;4;4;6;3;5;4;5;6;3;3;6;4;4;4;4;5;2,time,0.25;0.2;0.166667;0.142857;0.125,662.643515
2,80,14000,135.923479,23,6;5;3;3;5;4;3;6;4;6;3;2;2;3;3;3;3;2;2;2;3;3;4,time,0.25;0.2;0.166667;0.142857;0.125,645.684693
3,80,14000,118.298385,22,4;4;3;4;5;4;3;3;3;4;4;5;3;5;3;3;3;5;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,655.470072
4,80,14000,140.531395,21,7;5;4;4;3;4;3;3;4;6;4;4;4;5;4;3;3;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,643.003343
5,80,14000,116.235883,20,5;4;3;7;5;4;4;3;3;4;3;3;5;4;7;4;5;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,659.064919
6,80,14000,119.062284,23,4;4;5;4;3;4;3;4;3;5;3;5;3;4;3;3;3;3;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,645.849429
7,80,14000,92.004729,19,6;5;5;4;7;3;5;8;4;4;4;3;3;3;4;3;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,656.581692
8,80,14000,101.755365,21,5;5;4;5;4;4;6;3;4;5;3;3;3;4;4;4;3;4;2;3;2,time,0.25;0.2;0.166667;0.142857;0.125,654.651594
9,80,14000,120.856770,19,6;5;6;4;4;3;3;5;4;7;5;4;4;3;3;4;5;3;2,time,0.25;0.2;0.166667;0.142857;0.125,651.117339
10,80,14000,116.140973,21,5;3;5;6;5;3;3;3;4;4;5;4;3;3;4;5;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,643.190219
11,80,14000,99.024165,21,8;3;3;3;5;4;4;3;3;7;5;3;3;3;3;4;4;2;4;3;3,time,0.25;0.2;0.166667;0.142857;0.125,645.587338
12,80,14000,129.294000,21,3;3;5;5;3;4;4;4;4;4;4;3;3;5;4;5;4;4;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,643.475762
13,80,14000,117.141200,22,3;3;4;5;5;3;6;4;3;4;3;3;4;3;5;6;3;3;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,664.561203
14,80,14000,97.890032,20,5;7;4;3;6;6;7;3;3;3;5;6;3;3;2;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,653.035673
15,80,14000,96.464246,17,5;4;5;7;5;7;4;5;5;5;5;4;4;5;5;3;2,time,0.25;0.2;0.166667;0.142857;0.125,672.169095
16,80,14000,137.790036,22,5;4;5;5;3;5;6;3;4;3;5;3;3;5;2;4;3;3;3;3;2;1,time,0.25;0.2;0.166667;0.142857;0.125,653.026117
17,80,14000,92.500929,18,4;5;5;5;4;3;4;3;4;5;4;6;6;4;4;7;4;3,time,0.25;0.2;0.166667;0.142857;0.125,660.444929
18,80,14000,113.140519,20,6;4;4;5;4;5;5;4;4;4;3;4;3;4;5;3;3;3;4;3,time,0.25;0.2;0.166667;0.142857;0.125,656.851760
19,80,14000,143.869748,21,4;5;4;3;3;4;6;4;3;5;5;3;3;3;3;4;3;3;4;4;4,time,0.25;0.2;0.166667;0.142857;0.125,648.795735
20,80,14000,112.659461,21,5;5;4;6;4;4;4;4;5;4;3;4;3;4;3;5;3;3;3;3;1,time,0.25;0.2;0.166667;0.142857;0.125,650.007523
21,80,14000,88.259889,19,6;3;6;6;4;3;4;3;3;4;5;3;3;5;9;5;3;4;1,time,0.25;0.2;0.166667;0.142857;0.125,649.854135
22,80,14000,117.784788,19,5;6;5;4;3;3;4;3;3;6;3;4;3;7;4;5;5;5;2,time,0.25;0.2;0.166667;0.142857;0.125,650.986309
23,80,14000,109.890173,22,3;4;5;3;3;4;3;3;4;5;5;5;3;6;4;3;3;4;3;3;3;1,time,0.25;0.2;0.166667;0.142857;0.125,645.233225
24,80,14000,125.410494,21,4;4;4;3;4;5;3;3;5;3;4;3;4;4;3;4;5;4;5;4;2,time,0.25;0.2;0.166667;0.142857;0.125,652.590177
25,80,14000,113.584701,21,6;5;3;4;4;3;4;7;4;4;3;4;3;3;4;3;4;4;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,649.762691
26,80,14000,143.476580,22,4;6;3;3;4;4;3;4;4;4;3;4;5;3;4;3;3;5;3;3;4;1,time,0.25;0.2;0.166667;0.142857;0.125,639.752672
27,80,14000,108.307338,18,5;5;6;5;7;4;4;5;4;3;5;3;3;6;3;4;5;3,time,0.25;0.2;0.166667;0.142857;0.125,656.948593
28,80,14000,115.094616,21,4;3;6;5;3;4;3;7;6;3;3;5;4;3;3;3;3;4;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,658.278377
29,80,14000,99.861123,20,4;4;4;4;8;4;3;8;4;3;6;4;3;4;5;2;2;4;2;2,time,0.25;0.2;0.166667;0.142857;0.125,653.630164
30,80,14000,142.737147,22,4;4;4;4;3;4;4;3;3;4;5;5;5;3;3;3;4;4;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,626.698455
31,80,14000,94.098511,20,4;5;4;5;7;4;3;6;4;3;5;3;4;3;3;7;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,653.676876
32,80,14000,94.454041,20,4;5;4;3;4;3;6;5;5;4;6;4;3;7;3;3;3;4;3;1,time,0.25;0.2;0.166667;0.142857;0.125,656.853530
33,80,14000,123.726374,21,5;3;6;7;6;3;3;5;3;4;3;3;4;3;3;4;4;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,648.069057
34,80,14000,120.519574,20,5;4;4;4;4;4;6;5;4;3;3;4;3;3;4;3;4;6;4;3,time,0.25;0.2;0.166667;0.142857;0.125,656.377669
35,80,14000,116.284510,21,4;4;6;4;5;3;5;3;5;3;4;4;3;3;3;4;3;4;4;3;3,time,0.25;0.2;0.166667;0.142857;0.125,641.703188
36,80,14000,124.322160,21,4;4;3;5;5;4;3;5;3;5;5;3;3;4;6;3;4;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,663.323334
37,80,14000,102.961632,23,5;4;3;3;3;4;5;6;4;3;7;5;3;3;3;3;3;2;3;2;2;2;2,time,0.25;0.2;0.166667;0.142857;0.125,650.380297
38,80,14000,119.902757,20,4;4;7;5;5;5;3;7;4;5;3;4;3;3;3;4;3;2;3;3,time,0.25;0.2;0.166667;0.142857;0.125,652.015586
39,80,14000,116.438269,23,3;3;6;4;3;4;5;3;3;4;4;3;4;3;3;3;4;4;4;3;3;3;1,time,0.25;0.2;0.166667;0.142857;0.125,650.179179
40,80,14000,124.608280,23,4;4;4;6;4;3;3;4;4;3;4;3;3;3;3;3;3;4;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,639.779562
41,80,14000,144.793123,21,4;3;4;4;5;4;3;4;4;3;3;4;3;5;4;3;5;3;4;4;4,time,0.25;0.2;0.166667;0.142857;0.125,652.860381
42,80,14000,115.600235,23,4;4;7;4;3;4;4;4;3;3;3;3;3;3;3;4;3;3;4;4;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,636.033849
43,80,14000,105.599854,20,5;5;4;7;5;3;3;3;6;5;4;5;4;4;3;4;3;2;3;2,time,0.25;0.2;0.166667;0.142857;0.125,656.761590
44,80,14000,98.631262,19,5;8;4;4;8;3;3;3;3;3;4;5;4;5;4;3;4;4;3,time,0.25;0.2;0.166667;0.142857;0.125,660.332783
45,80,14000,110.793654,22,3;6;7;6;6;4;3;3;3;3;3;3;3;4;4;3;3;3;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,645.896322
46,80,14000,91.981924,18,5;5;6;4;3;4;4;8;4;4;4;5;4;4;5;4;3;4,time,0.25;0.2;0.166667;0.142857;0.125,650.851288
47,80,14000,126.174762,21,4;6;4;4;4;6;3;4;3;4;3;5;3;3;3;3;4;3;5;3;3,time,0.25;0.2;0.166667;0.142857;0.125,655.192991
48,80,14000,110.154097,22,3;4;4;6;4;4;5;4;7;3;3;3;3;3;3;4;3;3;3;4;2;2,time,0.25;0.2;0.166667;0.142857;0.125,646.542817
49,80,14000,116.328296,21,5;5;5;5;3;3;3;3;4;3;4;4;4;4;3;4;4;4;3;4;3,time,0.25;0.2;0.166667;0.142857;0.125,658.918610
50,80,14000,144.866060,20,6;4;4;6;3;3;7;4;3;6;3;5;6;3;4;2;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,654.450258
51,80,14000,132.679044,22,3;5;4;5;4;3;4;4;4;3;4;4;5;4;3;5;3;4;3;2;2;2,time,0.25;0.2;0.166667;0.142857;0.125,653.998136
52,80,14000,95.462480,21,5;3;5;7;5;4;5;5;3;3;3;3;3;3;4;4;3;3;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,645.057980
53,80,14000,130.620360,20,8;3;4;3;6;3;4;5;5;5;7;4;4;2;2;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,672.384801
54,80,14000,99.173413,18,7;5;6;4;4;5;5;3;4;7;5;3;3;4;3;5;3;4,time,0.25;0.2;0.166667;0.142857;0.125,667.382638
55,80,14000,116.238404,20,4;6;9;5;5;3;3;4;4;3;5;5;3;3;3;4;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,646.895774
56,80,14000,93.907178,19,8;5;3;5;3;3;3;4;6;3;3;4;5;5;6;3;4;3;4,time,0.25;0.2;0.166667;0.142857;0.125,657.933454
57,80,14000,99.173767,21,5;5;8;5;4;5;5;5;3;3;3;4;3;3;3;2;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,658.164779
58,80,14000,113.886829,21,4;5;3;4;4;5;4;5;6;3;3;3;3;4;4;4;3;3;4;3;3,time,0.25;0.2;0.166667;0.142857;0.125,630.805889
59,80,14000,124.334208,19,6;5;3;4;5;5;4;4;3;5;4;5;5;6;5;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,654.532830
60,80,14000,105.523669,19,3;4;5;5;6;4;4;4;4;4;4;5;4;4;3;6;4;4;3,time,0.25;0.2;0.166667;0.142857;0.125,647.440087
61,80,14000,119.216030,21,4;5;4;3;6;3;3;4;4;5;4;3;5;3;5;3;5;2;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,655.423327
62,80,14000,115.680844,21,5;3;4;5;4;3;3;5;4;5;4;4;3;3;3;4;3;4;4;4;3,time,0.25;0.2;0.166667;0.142857;0.125,641.094821
63,80,14000,101.664327,20,4;5;4;4;5;4;4;3;4;5;4;3;4;4;3;3;6;4;5;2,time,0.25;0.2;0.166667;0.142857;0.125,642.955487
64,80,14000,87.567275,20,6;5;5;5;3;3;4;4;3;3;3;4;4;4;6;4;3;5;3;3,time,0.25;0.2;0.166667;0.142857;0.125,656.249441
65,80,14000,126.698935,22,4;4;4;4;4;4;3;3;3;4;4;3;5;4;3;3;3;3;4;3;5;3,time,0.25;0.2;0.166667;0.142857;0.125,669.223722
